"","Age","lam_hat","Est_Var","CI_lower","CI_upper","cat"
"141",14,0.00628212450028555,0.0585120081499368,0.00348551560372632,0.0113225969193471,"near_prime"
"151",15,0.00233236151603499,0.0222678935243633,0.00087637849585332,0.00620726120873633,"near_prime"
"161",16,0.0077243018419489,0.0747427346959544,0.00449460936294828,0.0132747551850418,"near_prime"
"171",17,0.0109957238851558,0.109027191236537,0.00694544031514888,0.0174079595061632,"near_prime"
"181",18,0.00564263322884012,0.05773313467086,0.00294136966925564,0.0108246542717863,"near_prime"
"191",19,0.00707395498392283,0.0741327838871982,0.0039257689472606,0.0127467611535022,"near_prime"
"201",20,0.00855263157894737,0.0915561135460709,0.00497772221535784,0.0146949756857714,"near_prime"
"211",21,0.0087956698240866,0.0968097688374061,0.00511951269604506,0.0151115569484012,"near_prime"
"221",22,0.010482180293501,0.118958949240339,0.00633617625258844,0.0173410743838723,"near_prime"
"231",23,0.00719424460431655,0.0843327366986903,0.00387955251742273,0.0133410116744911,"near_prime"
"241",24,0.0051584377302874,0.0620660023925689,0.00246391158184569,0.0107996894098447,"near_prime"
"251",25,0.00754716981132075,0.0927768506888237,0.00407031698650663,0.013993940115656,"near_prime"
"261",26,0.00615858352578907,0.0773304049348068,0.0030864821771608,0.0122884723990242,"near_prime"
"271",27,0.00864779874213836,0.110613452047415,0.00480143193935,0.0155754416659822,"near_prime"
"281",28,0.00726978998384491,0.095674007702419,0.00379158888104416,0.0139387069820338,"near_prime"
"291",29,0.00836120401337793,0.113776523191382,0.00451048172519351,0.0154993938148209,"near_prime"
"301",30,0.00345423143350604,0.0487867210565334,0.001298632770644,0.00918790520764714,"near_prime"
"311",31,0.00887311446317657,0.128068679995735,0.00478739637183384,0.0164457158257975,"near_prime"
"321",32,0.00639269406392694,0.0952020030734637,0.0030548505484922,0.0133775897531673,"near_prime"
"331",33,0.00938086303939963,0.143071724669007,0.00506214694660919,0.0173840452069294,"near_prime"
"341",34,0.005819592628516,0.092100211649049,0.002620617546105,0.0129235410226933,"near_prime"
"351",35,0.010934393638171,0.17643442728096,0.0060751188496303,0.0196804321353729,"near_prime"
"361",36,0.00917431192660551,0.152076903297146,0.0047878902268284,0.0175793502647638,"near_prime"
"371",37,0.0148305084745763,0.254013330994162,0.00881771546958432,0.02494342013792,"near_prime"
"381",38,0.0132304299889746,0.236234829430597,0.00754195864482285,0.0232093924054222,"near_prime"
"391",39,0.0205714285714286,0.377911994588921,0.0130229289744977,0.032495276162382,"near_prime"
"401",40,0.0202140309155767,0.386500138584849,0.0126270947594127,0.0323595453777125,"near_prime"
"411",41,0.00861008610086101,0.172314948005714,0.00411786003865327,0.0180029388974777,"near_prime"
"421",42,0.0076530612244898,0.158980613148008,0.00344878318312883,0.0169826118360544,"near_prime"
"431",43,0.00921052631578947,0.197066928488118,0.00440601078504608,0.0192541051651019,"near_prime"
"441",44,0.00948509485094851,0.208933384675391,0.0045378189235359,0.0198260498815556,"near_prime"
"451",45,0.00985915492957747,0.225652332563123,0.00471743190712251,0.0206050533084859,"near_prime"
"461",46,0.00146412884333821,0.0351304547747602,0.000206538546187847,0.0103790469598117,"near_prime"
"471",47,0.00604229607250755,0.148892706682652,0.00227451592249631,0.0160514777965461,"near_prime"
"481",48,0.00772797527047913,0.194515269259152,0.00322753212566731,0.0185037977797941,"near_prime"
"491",49,0.00160771704180064,0.0423527831285604,0.000226825873990539,0.0113953229454062,"near_prime"
"501",50,0,0,NA,NA,"near_prime"
"511",51,0.00178571428571429,0.0522407297740525,0.000251982726486186,0.0126547385000174,"near_prime"
"521",52,0.00576923076923077,0.181035303823396,0.00186679290266062,0.017829521218557,"near_prime"
"531",53,0.00209205020920502,0.0716797030512707,0.000295298611237889,0.0148211807007415,"near_prime"
"541",54,0.00748129675810474,0.303901411513722,0.00242313272432472,0.0230981161786861,"near_prime"
"551",55,0,0,NA,NA,"near_prime"
"561",56,0,0,NA,NA,"near_prime"
"571",57,0,0,NA,NA,"near_prime"
"581",58,0,0,NA,NA,"near_prime"
"591",59,0,0,NA,NA,"near_prime"
"601",60,0,0,NA,NA,"near_prime"
"611",61,0,0,NA,NA,"near_prime"
"62",62,0,0,NA,NA,"near_prime"
"63",63,0,0,NA,NA,"near_prime"
"64",64,0,0,NA,NA,"near_prime"
"65",65,0,0,NA,NA,"near_prime"
"66",66,0,0,NA,NA,"near_prime"
"67",67,0,0,NA,NA,"near_prime"
"68",68,0,0,NA,NA,"near_prime"
"69",69,0,0,NA,NA,"near_prime"
"70",70,0,0,NA,NA,"near_prime"
"102",10,0.002,0.032758352,0.000500889357139595,0.007985795551422,"prime"
"112",11,0.00580270793036751,0.0915681114305872,0.00261299650421007,0.0128861325573526,"prime"
"122",12,0.00187617260787992,0.0288311202742089,0.00046983708982249,0.00749200889161149,"prime"
"132",13,0.0036003600360036,0.052994029563101,0.00135366752341628,0.00957590557845242,"prime"
"142",14,0.000873362445414847,0.0125075161614354,0.00012313024823713,0.00619475695031522,"prime"
"152",15,0.00847457627118644,0.116869543624226,0.00457180210164107,0.0157090008227558,"prime"
"162",16,0.00340136054421769,0.0473071893387833,0.00127872255416856,0.00904750879230664,"prime"
"172",17,0.00341005967604433,0.0475490642339736,0.00128199841816357,0.00907060947145402,"prime"
"182",18,0.00341005967604433,0.0475490642339736,0.00128199841816357,0.00907060947145402,"prime"
"192",19,0.00775862068965517,0.108919433453606,0.00404718919935259,0.0148735806607644,"prime"
"202",20,0.00176991150442478,0.0256605093780083,0.000443194182488713,0.00706820363910114,"prime"
"212",21,0.0036036036036036,0.0530893844904071,0.00135488920094565,0.00958451726003966,"prime"
"222",22,0.00552995391705069,0.0831849938438958,0.0024899011352682,0.012281768898993,"prime"
"232",23,0.00284629981024668,0.0441940340966758,0.000919473245795329,0.00881093892275537,"prime"
"242",24,0.00193610842207164,0.030700765519234,0.000484866562929711,0.0077310256235593,"prime"
"252",25,0.00493096646942801,0.0794161472049286,0.00205685103386075,0.0118211916771555,"prime"
"262",26,0.00302114803625378,0.0497817560337133,0.000976053192577268,0.00935126848246798,"prime"
"272",27,0.00204918032786885,0.0343875320236055,0.000513223816441997,0.00818188845022018,"prime"
"282",28,0.00209205020920502,0.0358398515256353,0.000523976297917581,0.00835280926871849,"prime"
"292",29,0,0,NA,NA,"prime"
"302",30,0.00329308452250274,0.0591307626755439,0.00106407265833867,0.0101914146438819,"prime"
"312",31,0.00451977401129944,0.083438712854807,0.0017001171483689,0.0120158526327535,"prime"
"322",32,0.00573394495412844,0.107300354132996,0.00239264106895442,0.0137413526682223,"prime"
"332",33,0.00352112676056338,0.0675883227021988,0.00113790550015027,0.0108957498336358,"prime"
"342",34,0.00480769230769231,0.0943804095428425,0.00180867362211257,0.0127794783109881,"prime"
"352",35,0.00122399020807834,0.0245575760390134,0.000172622535357717,0.00867877433480571,"prime"
"362",36,0.00623441396508728,0.126784665502741,0.00260204745302658,0.014937436072838,"prime"
"372",37,0.00380710659898477,0.0789903007348366,0.00123052367590409,0.0117787743054877,"prime"
"382",38,0.00516795865633075,0.10901577404224,0.00194455139957947,0.0137346828061833,"prime"
"392",39,0.00265604249667995,0.0577359760799017,0.000665494530950184,0.0106004804188209,"prime"
"402",40,0.00544959128065395,0.121187040574226,0.00205080524357507,0.014481163054961,"prime"
